order_id,category,product_name,price,quantity,order_date,revenue
80,Clothing,Ray-Ban Aviators,136.02,1,2021-10-30 14:43:26,136.02
81,Automotive,Covercraft Car Cover,1064.44,4,2018-06-11 07:00:28,4257.76
82,Clothing,Patagonia Fleece,93.81,1,2022-10-29 20:08:34,93.81
83,Electronics,MacBook Air M3,1486.3,3,2022-10-26 05:27:38,4458.9
84,Automotive,Pioneer Car Stereo,1040.95,2,2020-05-08 19:17:42,2081.9
85,Clothing,Rolex Submariner,355.12,4,2016-06-21 13:22:30,1420.48
86,Automotive,Chemical Guys Car Wash,290.25,5,2021-10-05 15:11:13,1451.25
87,Home & Garden,All-Clad Cookware Set,641.39,2,2019-08-10 03:06:47,1282.78
88,Electronics,Kindle Paperwhite,426.6,3,2020-07-21 02:38:34,1279.8
89,Automotive,Bosch Car Battery,1161.26,2,2021-10-14 21:02:59,2322.52
90,Health & Beauty,MAC Lipstick,87.14,3,2016-04-13 10:26:03,261.42
91,Electronics,GoPro Hero 12,1942.28,1,2025-09-09 14:09:36,1942.28
92,Home & Garden,Dyson V15 Vacuum,109.01,4,2021-09-10 22:56:29,436.04
93,Health & Beauty,Olaplex Hair Treatment,70.97,1,2022-05-14 10:50:57,70.97
94,Books & Media,Adobe Creative Suite,54.67,4,2015-11-04 10:33:53,218.68
95,Books & Media,MasterClass Subscription,162.27,2,2022-01-04 02:59:11,324.54
96,Sports & Outdoors,Yeti Cooler,570.35,3,2021-02-25 12:50:13,1711.05
97,Health & Beauty,Dyson Hair Dryer,35.43,2,2024-06-10 01:56:00,70.86
98,Home & Garden,IKEA Billy Bookshelf,341.5,4,2020-11-04 01:38:33,1366.0
99,Books & Media,National Geographic Magazine,42.41,4,2018-10-10 07:10:53,169.64
100,Books & Media,Nintendo Game,63.69,1,2020-12-25 03:27:39,63.69
101,Home & Garden,Instant Pot Duo,358.16,3,2023-09-22 06:24:30,1074.48
102,Sports & Outdoors,Garmin GPS Watch,411.86,5,2018-09-13 08:33:29,2059.3
103,Health & Beauty,Charlotte Tilbury Lipstick,65.35,3,2017-05-27 05:15:06,196.05
104,Automotive,Rain-X Windshield Treatment,304.8,2,2019-08-20 19:11:16,609.6
105,Automotive,WeatherTech Floor Mats,202.4,1,2019-12-24 07:54:35,202.4
106,Sports & Outdoors,North Face Sleeping Bag,512.85,1,2023-07-24 18:55:29,512.85
107,Sports & Outdoors,Osprey Hiking Pack,385.26,2,2022-05-06 21:21:47,770.52
108,Sports & Outdoors,Fitbit Charge 5,161.51,1,2017-08-17 05:47:35,161.51
109,Automotive,Mobil 1 Motor Oil,286.04,5,2016-08-31 23:27:05,1430.2
110,Books & Media,Adobe Creative Suite,183.91,1,2023-07-31 06:51:56,183.91
111,Clothing,Rolex Submariner,240.35,3,2023-05-05 23:40:35,721.05
112,Books & Media,Coursera Course,145.26,4,2025-02-18 06:55:52,581.04
113,Sports & Outdoors,Osprey Hiking Pack,112.31,5,2023-06-21 13:36:40,561.55
114,Home & Garden,Le Creuset Dutch Oven,216.61,2,2024-09-06 04:12:23,433.22
115,Sports & Outdoors,Hydro Flask Water Bottle,158.76,5,2017-02-17 09:29:55,793.8
116,Health & Beauty,Glossier Boy Brow,56.08,3,2021-04-02 12:53:21,168.24
117,Books & Media,Harry Potter Box Set,31.98,2,2022-05-01 00:42:23,63.96
118,Health & Beauty,The Ordinary Serum,144.81,1,2022-11-14 19:55:43,144.81
119,Sports & Outdoors,Spalding Basketball,334.71,4,2016-11-14 20:04:48,1338.84
120,Clothing,Patagonia Fleece,218.77,1,2025-08-10 03:30:40,218.77
121,Sports & Outdoors,Garmin GPS Watch,23.42,3,2020-11-22 10:41:24,70.26
122,Automotive,Mobil 1 Motor Oil,1028.53,4,2024-12-20 07:36:42,4114.12
123,Health & Beauty,Neutrogena Sunscreen,114.67,2,2024-02-13 16:24:04,229.34
124,Clothing,Under Armour T-Shirt,226.38,1,2022-06-06 04:55:58,226.38
125,Home & Garden,IKEA Billy Bookshelf,551.33,4,2018-08-15 11:35:51,2205.32
126,Automotive,Chemical Guys Car Wash,1105.86,1,2022-07-08 06:54:09,1105.86
127,Books & Media,Nintendo Game,134.28,1,2023-02-08 05:42:45,134.28
128,Clothing,Patagonia Fleece,238.92,1,2020-03-28 11:39:53,238.92
129,Sports & Outdoors,Spalding Basketball,142.76,3,2021-07-22 02:04:24,428.28
130,Automotive,AutoZone Gift Card,473.58,4,2020-02-08 11:48:02,1894.32
131,Automotive,Bosch Car Battery,580.26,1,2021-10-07 12:12:45,580.26
132,Clothing,Ray-Ban Aviators,48.28,1,2016-05-04 17:52:20,48.28
133,Clothing,Champion Hoodie,422.03,1,2019-11-15 04:44:37,422.03
134,Clothing,The North Face Jacket,339.69,2,2023-09-22 13:14:16,679.38
135,Health & Beauty,Glossier Boy Brow,156.18,1,2017-10-05 14:43:22,156.18
136,Automotive,Armor All Protectant,221.61,2,2017-08-26 15:11:51,443.22
137,Books & Media,Kindle Oasis,186.13,4,2022-07-24 15:44:25,744.52
138,Health & Beauty,Drunk Elephant Moisturizer,26.29,2,2017-07-19 02:58:02,52.58
139,Health & Beauty,Olaplex Hair Treatment,68.7,1,2025-06-10 12:19:21,68.7
140,Automotive,Michelin Tires,436.23,4,2022-02-12 13:52:44,1744.92
141,Electronics,PlayStation 5,1312.71,1,2022-12-17 02:02:36,1312.71
142,Automotive,Chemical Guys Car Wash,153.48,3,2023-08-20 15:38:39,460.44
143,Health & Beauty,The Ordinary Serum,93.87,2,2024-12-20 00:30:16,187.74
144,Automotive,Chemical Guys Car Wash,573.9,2,2021-04-18 15:53:09,1147.8
145,Automotive,WeatherTech Floor Mats,1001.96,1,2020-07-23 03:08:18,1001.96
146,Sports & Outdoors,REI Hiking Boots,455.28,4,2021-07-15 05:26:39,1821.12
147,Electronics,Nintendo Switch,1709.36,1,2024-02-09 11:03:36,1709.36
148,Clothing,Calvin Klein Underwear,401.95,3,2020-07-27 16:02:22,1205.85
149,Books & Media,Steam Gift Card,176.62,1,2024-08-08 03:23:00,176.62
150,Clothing,Adidas Ultraboost 22,132.06,4,2024-02-15 20:21:12,528.24
151,Books & Media,Barnes & Noble Gift Card,51.86,5,2024-02-29 18:55:33,259.3
152,Sports & Outdoors,Bowflex Dumbbells,30.0,2,2019-08-01 21:11:40,60.0
153,Sports & Outdoors,Lululemon Yoga Mat,161.12,3,2023-11-12 16:03:47,483.36
154,Books & Media,Audible Subscription,72.03,3,2021-10-19 00:07:54,216.09
155,Health & Beauty,Urban Decay Eyeshadow,62.93,2,2019-09-26 10:40:06,125.86
156,Electronics,Samsung 4K TV,425.54,1,2024-12-05 16:10:09,425.54
157,Automotive,Optima Car Battery,246.63,2,2024-01-19 15:16:13,493.26
158,Home & Garden,Cuisinart Coffee Maker,481.93,2,2017-07-10 13:53:00,963.86
159,Automotive,WeatherTech Floor Mats,376.61,3,2018-11-12 22:36:23,1129.83
160,Home & Garden,Dyson V15 Vacuum,573.71,1,2020-06-24 10:36:52,573.71
161,Electronics,iPhone 15 Pro,1129.05,1,2024-03-01 03:28:51,1129.05
162,Electronics,Canon EOS R5,73.92,2,2023-10-19 15:53:21,147.84
163,Sports & Outdoors,Garmin GPS Watch,217.61,1,2020-02-09 18:38:57,217.61
164,Automotive,Chemical Guys Car Wash,163.48,1,2022-08-18 20:10:05,163.48
165,Sports & Outdoors,Yeti Cooler,354.67,1,2018-05-24 17:30:55,354.67
166,Clothing,Rolex Submariner,287.98,2,2017-04-06 05:26:25,575.96
167,Clothing,Adidas Ultraboost 22,285.67,4,2019-08-27 07:14:54,1142.68
168,Automotive,Covercraft Car Cover,475.04,5,2020-11-14 14:51:22,2375.2
169,Automotive,Yakima Bike Rack,1188.34,2,2025-06-27 06:30:57,2376.68
170,Books & Media,Kindle Oasis,123.88,1,2019-05-08 01:55:18,123.88
171,Health & Beauty,Drunk Elephant Moisturizer,61.75,1,2018-06-26 20:23:41,61.75
172,Clothing,Levi's 501 Jeans,282.72,1,2015-11-10 13:22:36,282.72
173,Sports & Outdoors,Garmin GPS Watch,419.84,5,2020-10-07 18:04:39,2099.2
174,Electronics,Dell XPS 13,611.8,2,2023-07-16 04:24:09,1223.6
175,Electronics,Kindle Paperwhite,505.18,2,2019-03-07 03:16:59,1010.36
176,Sports & Outdoors,Yeti Cooler,335.85,1,2020-05-01 12:19:44,335.85
177,Automotive,Garmin Dash Cam,113.55,1,2021-01-17 08:44:29,113.55
178,Books & Media,Steam Gift Card,165.73,2,2023-04-14 17:39:11,331.46
179,Electronics,Nintendo Switch,1392.92,4,2020-06-11 14:38:17,5571.68
180,Books & Media,Audible Subscription,101.29,1,2016-06-28 14:48:52,101.29
181,Sports & Outdoors,Lululemon Yoga Mat,206.95,2,2016-04-02 15:35:47,413.9
182,Electronics,Dell XPS 13,1925.73,1,2020-05-25 14:44:26,1925.73
183,Books & Media,Kindle Oasis,153.81,1,2023-10-26 12:30:42,153.81
184,Books & Media,PlayStation Game,91.23,2,2018-11-25 15:57:58,182.46
185,Books & Media,Netflix Subscription,128.78,5,2017-05-13 21:23:50,643.9
186,Sports & Outdoors,Spalding Basketball,256.84,3,2017-08-04 21:24:29,770.52
187,Automotive,Garmin Dash Cam,415.87,5,2020-09-18 20:29:48,2079.35
188,Health & Beauty,Clinique Cleanser,164.95,1,2023-07-21 02:53:59,164.95
189,Electronics,AirPods Pro,542.18,1,2022-09-09 09:17:48,542.18
190,Automotive,Covercraft Car Cover,995.16,1,2025-01-16 11:45:54,995.16
191,Sports & Outdoors,Fitbit Charge 5,51.44,3,2024-04-17 11:01:21,154.32
192,Health & Beauty,Urban Decay Eyeshadow,154.88,2,2020-05-10 08:39:24,309.76
193,Books & Media,National Geographic Magazine,185.9,5,2024-01-22 19:48:22,929.5
194,Electronics,iPhone 15 Pro,1947.64,2,2018-07-05 01:24:27,3895.28
195,Home & Garden,Casper Mattress,35.6,4,2017-05-26 02:42:28,142.4
196,Clothing,Patagonia Fleece,457.77,5,2017-10-23 20:09:53,2288.85
197,Health & Beauty,Dyson Hair Dryer,40.95,2,2024-06-20 22:50:19,81.9
198,Health & Beauty,Glossier Boy Brow,90.11,5,2023-11-06 04:51:42,450.55
199,Clothing,The North Face Jacket,282.36,4,2019-01-21 08:13:19,1129.44
200,Books & Media,Audible Subscription,150.53,1,2016-12-31 17:10:39,150.53
201,Home & Garden,Le Creuset Dutch Oven,637.25,4,2021-08-05 20:12:46,2549.0
202,Automotive,Covercraft Car Cover,342.59,1,2020-08-16 10:21:00,342.59
203,Health & Beauty,Glossier Boy Brow,169.45,5,2018-05-05 06:29:53,847.25
204,Sports & Outdoors,Coleman Camping Tent,300.92,3,2025-03-15 10:14:04,902.76
205,Automotive,Covercraft Car Cover,471.34,3,2019-01-09 04:13:27,1414.02
206,Health & Beauty,Drunk Elephant Moisturizer,119.5,2,2022-10-20 09:33:59,239.0
207,Electronics,AirPods Pro,1502.18,4,2022-05-19 22:34:47,6008.72
208,Health & Beauty,Olaplex Hair Treatment,166.3,1,2024-03-28 19:06:18,166.3
209,Electronics,MacBook Air M3,1029.47,3,2017-07-09 13:47:49,3088.41
210,Automotive,Armor All Protectant,545.16,5,2016-01-28 07:08:36,2725.8
211,Health & Beauty,The Ordinary Serum,89.08,1,2017-01-31 21:32:28,89.08
212,Sports & Outdoors,Bowflex Dumbbells,582.14,3,2022-07-29 19:21:11,1746.42
213,Health & Beauty,Charlotte Tilbury Lipstick,172.13,4,2021-03-14 14:16:39,688.52
214,Health & Beauty,Neutrogena Sunscreen,178.84,5,2025-01-06 16:29:58,894.2
215,Electronics,Apple Watch Series 9,183.42,2,2019-09-07 11:33:23,366.84
216,Health & Beauty,Charlotte Tilbury Lipstick,93.59,1,2017-07-10 11:04:10,93.59
217,Sports & Outdoors,Patagonia Backpack,422.52,1,2016-08-05 17:00:49,422.52
218,Home & Garden,Le Creuset Dutch Oven,68.49,3,2022-03-11 02:41:54,205.47
219,Sports & Outdoors,Patagonia Backpack,161.63,4,2025-06-10 11:39:12,646.52
220,Health & Beauty,Olaplex Hair Treatment,45.85,1,2017-02-26 14:57:26,45.85
221,Books & Media,Coursera Course,79.6,2,2024-04-12 07:51:46,159.2
222,Books & Media,National Geographic Magazine,50.28,2,2023-08-19 14:27:49,100.56
223,Home & Garden,IKEA Billy Bookshelf,32.28,5,2020-09-15 05:05:10,161.4
224,Health & Beauty,MAC Lipstick,41.7,5,2021-09-10 04:49:26,208.5
225,Books & Media,Microsoft Office 365,129.59,4,2020-01-25 23:41:39,518.36
226,Sports & Outdoors,Trek Mountain Bike,195.23,4,2024-01-13 11:33:09,780.92
227,Electronics,Dell XPS 13,793.66,3,2025-08-04 16:30:44,2380.98
228,Home & Garden,Cuisinart Coffee Maker,253.8,4,2020-06-25 11:49:31,1015.2
229,Electronics,Apple Watch Series 9,1736.88,1,2024-04-06 11:41:07,1736.88
230,Automotive,AutoZone Gift Card,1086.43,2,2021-10-22 04:15:10,2172.86
231,Clothing,Ray-Ban Aviators,107.21,2,2018-02-20 20:20:29,214.42
232,Health & Beauty,Charlotte Tilbury Lipstick,181.84,1,2021-01-25 13:45:13,181.84
233,Automotive,Chemical Guys Car Wash,69.04,3,2018-01-18 11:53:34,207.12
234,Electronics,GoPro Hero 12,625.47,4,2018-10-20 07:41:23,2501.88
235,Clothing,Levi's 501 Jeans,396.46,3,2024-11-04 12:47:16,1189.38
236,Books & Media,MasterClass Subscription,58.14,1,2020-03-08 16:29:58,58.14
237,Automotive,Chemical Guys Car Wash,1161.84,2,2021-07-29 15:13:24,2323.68
238,Automotive,Bosch Car Battery,577.95,1,2018-03-17 13:33:04,577.95
239,Automotive,WeatherTech Floor Mats,1036.36,4,2025-04-17 22:49:31,4145.44
240,Home & Garden,KitchenAid Stand Mixer,637.78,1,2020-04-24 05:15:55,637.78
241,Books & Media,Harry Potter Box Set,93.68,2,2025-10-04 06:15:48,187.36
242,Sports & Outdoors,Trek Mountain Bike,390.36,3,2017-08-28 04:05:07,1171.08
243,Health & Beauty,Drunk Elephant Moisturizer,100.64,3,2019-07-31 11:00:46,301.92
244,Health & Beauty,Charlotte Tilbury Lipstick,131.46,5,2020-12-14 16:12:29,657.3
245,Health & Beauty,Clinique Cleanser,33.94,1,2016-06-12 03:49:06,33.94
246,Home & Garden,Philips Hue Lights,114.99,2,2024-12-16 03:06:13,229.98
247,Clothing,Tommy Hilfiger Polo,235.02,4,2025-10-21 12:53:04,940.08
248,Health & Beauty,Neutrogena Sunscreen,41.05,4,2017-07-01 05:31:12,164.2
249,Automotive,Chemical Guys Car Wash,750.31,2,2016-05-15 05:20:59,1500.62
250,Health & Beauty,Rare Beauty Blush,52.85,5,2019-10-31 02:00:44,264.25
251,Automotive,K&N Air Filter,146.24,3,2025-01-28 02:58:37,438.72
252,Health & Beauty,Rare Beauty Blush,23.38,2,2019-01-16 08:38:50,46.76
253,Electronics,Canon EOS R5,1657.17,1,2019-06-03 21:51:20,1657.17
254,Health & Beauty,CeraVe Facial Cleanser,124.26,1,2016-09-03 05:09:28,124.26
255,Automotive,K&N Air Filter,314.98,1,2025-06-02 02:18:50,314.98
256,Clothing,Adidas Ultraboost 22,417.46,2,2025-10-15 14:07:40,834.92
257,Clothing,Patagonia Fleece,436.8,3,2018-04-28 19:13:01,1310.4
258,Automotive,AutoZone Gift Card,727.3,2,2018-04-10 23:46:44,1454.6
259,Clothing,Converse Chuck Taylor,136.57,1,2017-09-06 23:44:54,136.57
260,Health & Beauty,Dyson Hair Dryer,16.85,1,2021-11-27 23:18:14,16.85
261,Automotive,Rain-X Windshield Treatment,308.38,3,2016-01-30 23:47:22,925.14
262,Clothing,Under Armour T-Shirt,40.41,4,2024-10-05 21:54:14,161.64
263,Electronics,Samsung 4K TV,173.94,5,2021-12-21 13:30:31,869.7
264,Books & Media,Nintendo Game,26.27,2,2016-07-20 09:24:22,52.54
265,Health & Beauty,Olaplex Hair Treatment,182.85,2,2023-08-10 02:35:41,365.7
266,Health & Beauty,Fenty Beauty Foundation,23.44,5,2022-08-24 11:50:59,117.2
267,Sports & Outdoors,Hydro Flask Water Bottle,82.62,5,2017-01-23 14:04:22,413.1
268,Electronics,AirPods Pro,1236.18,1,2017-12-17 01:23:50,1236.18
269,Home & Garden,West Elm Sofa,515.63,3,2022-04-17 18:55:25,1546.89
270,Books & Media,Audible Subscription,62.51,4,2017-07-02 04:54:26,250.04
271,Automotive,Optima Car Battery,163.86,2,2023-02-17 07:01:17,327.72
272,Sports & Outdoors,Osprey Hiking Pack,152.53,3,2023-07-12 21:00:06,457.59
273,Sports & Outdoors,Fitbit Charge 5,443.18,3,2023-01-27 18:00:19,1329.54
274,Home & Garden,IKEA Billy Bookshelf,222.54,1,2023-11-18 22:17:51,222.54
275,Electronics,Samsung Galaxy S24,1671.96,1,2023-02-28 12:26:17,1671.96
276,Electronics,Samsung 4K TV,1490.65,1,2025-04-12 02:21:41,1490.65
277,Electronics,Apple Watch Series 9,1915.42,3,2017-11-22 10:47:37,5746.26
278,Sports & Outdoors,Spalding Basketball,526.69,4,2016-09-08 14:32:18,2106.76
279,Home & Garden,West Elm Sofa,267.15,1,2025-08-23 23:47:58,267.15
280,Books & Media,Adobe Creative Suite,35.17,5,2019-08-18 08:09:41,175.85
281,Automotive,Bosch Car Battery,439.63,3,2017-10-07 19:17:00,1318.89
282,Automotive,Thule Roof Rack,701.7,4,2025-05-10 15:36:42,2806.8
283,Automotive,Armor All Protectant,757.42,1,2020-05-12 19:02:21,757.42
284,Electronics,MacBook Air M3,582.88,2,2021-08-05 12:40:12,1165.76
285,Home & Garden,Dyson V15 Vacuum,165.59,1,2025-06-12 22:15:59,165.59
286,Health & Beauty,Clinique Cleanser,25.08,1,2017-05-17 02:14:28,25.08
287,Health & Beauty,MAC Lipstick,52.44,4,2023-07-13 18:54:25,209.76
288,Home & Garden,Ninja Blender,311.79,3,2025-06-20 20:01:46,935.37
289,Books & Media,Harry Potter Box Set,177.25,1,2018-06-29 01:00:31,177.25
290,Automotive,Yakima Bike Rack,88.22,1,2020-06-10 17:15:38,88.22
291,Sports & Outdoors,Hydro Flask Water Bottle,265.93,5,2022-11-10 13:53:59,1329.65
292,Home & Garden,Instant Pot Duo,610.08,1,2021-09-07 18:15:01,610.08
293,Sports & Outdoors,Yeti Cooler,184.28,5,2024-10-11 04:27:11,921.4
294,Health & Beauty,Glossier Boy Brow,20.54,4,2016-09-29 08:01:18,82.16
295,Electronics,Dell XPS 13,637.77,2,2018-02-23 16:16:49,1275.54
296,Automotive,Thule Roof Rack,368.65,1,2015-12-11 23:06:38,368.65
297,Sports & Outdoors,Lululemon Yoga Mat,269.78,1,2022-04-13 10:59:13,269.78
298,Books & Media,Steam Gift Card,49.87,3,2017-01-14 19:01:13,149.61
299,Sports & Outdoors,Trek Mountain Bike,450.38,4,2016-02-18 09:17:04,1801.52
300,Sports & Outdoors,Osprey Hiking Pack,65.16,3,2025-08-10 13:46:23,195.48
301,Sports & Outdoors,North Face Sleeping Bag,254.57,4,2020-09-26 21:58:51,1018.28
302,Electronics,iPad Pro,90.67,3,2018-09-26 21:55:48,272.01
303,Automotive,Yakima Bike Rack,568.31,3,2017-04-24 13:13:27,1704.93
304,Sports & Outdoors,Trek Mountain Bike,81.4,4,2022-08-17 05:44:53,325.6
305,Books & Media,Harry Potter Box Set,82.17,2,2021-08-03 14:14:03,164.34
306,Clothing,Calvin Klein Underwear,392.87,1,2024-06-30 23:07:44,392.87
307,Health & Beauty,Charlotte Tilbury Lipstick,111.75,2,2021-10-03 20:57:36,223.5
308,Home & Garden,Cuisinart Coffee Maker,767.62,1,2019-11-01 01:18:29,767.62
309,Electronics,MacBook Air M3,549.14,1,2018-05-31 19:56:18,549.14
310,Automotive,Rain-X Windshield Treatment,796.95,1,2024-03-21 06:24:56,796.95
311,Sports & Outdoors,Bowflex Dumbbells,346.97,5,2025-06-01 13:27:36,1734.85
312,Health & Beauty,CeraVe Facial Cleanser,197.47,3,2021-03-11 08:23:35,592.41
313,Clothing,The North Face Jacket,48.12,5,2020-12-18 14:11:59,240.6
314,Automotive,Thule Roof Rack,721.96,3,2024-06-11 09:54:14,2165.88
315,Electronics,Sony WH-1000XM5,950.4,1,2016-10-12 10:24:11,950.4
316,Home & Garden,All-Clad Cookware Set,247.48,1,2024-06-09 17:46:39,247.48
317,Sports & Outdoors,Garmin GPS Watch,356.59,1,2023-06-19 11:29:38,356.59
318,Automotive,Yakima Bike Rack,792.65,3,2023-11-27 09:17:05,2377.95
319,Books & Media,National Geographic Magazine,191.76,5,2017-07-29 01:39:44,958.8
320,Automotive,AutoZone Gift Card,1009.73,1,2024-05-25 02:08:40,1009.73
321,Health & Beauty,The Ordinary Serum,19.36,5,2023-04-16 09:40:15,96.8
322,Books & Media,Audible Subscription,123.91,3,2022-02-26 18:03:40,371.73
323,Home & Garden,Ring Doorbell,341.8,3,2016-09-14 07:39:18,1025.4
